1.00 8.00 66 2018-10-23-20:33:21
f5:93:4c:a6:d9:16 -71 b | -71 -71
ac:23:3f:20:8d:36 -67 b | -67 -72 -69
ac:23:3f:20:8d:2f -72 b | -72
ac:23:3f:20:8d:35 -80 b | -80 -82
ac:23:3f:20:8d:3a -82 b | -82
ac:23:3f:20:8d:33 -73 b | -73 -77 -76
ac:23:3f:20:8d:30 -59 b | -59 -58
ac:23:3f:20:8d:38 -73 b | -73 -73
34:fc:b9:7a:cb:a3 -54 w | -54 -56 -54 -55
40:e3:d6:5d:54:e5 -80 w | -80 -80 -80 -80
40:e3:d6:5d:9c:64 -69 w | -69 -67 -69 -69
40:e3:d6:5d:9c:60 -70 w | -70 -68 -70 -69
34:fc:b9:7a:cb:a4 -53 w | -53 -58 -55 -55
40:e3:d6:5d:c8:85 -42 w | -42 -42 -42 -46
40:e3:d6:5d:54:e1 -78 w | -78 -78 -79
40:e3:d6:5e:d3:44 -72 w | -72 -69 -69 -70
40:e3:d6:5d:9c:61 -69 w | -69 -68 -69 -68
40:e3:d6:5d:ed:44 -80 w | -80 -80 -80
40:e3:d6:5d:54:e0 -78 w | -78 -78 -79
40:e3:d6:5d:c8:84 -42 w | -42 -42 -42 -43
40:e3:d6:5d:80:01 -85 w | -85 -85
40:e3:d6:5e:d3:40 -72 w | -72 -68 -68 -70
40:e3:d6:5d:ed:40 -78 w | -78 -78
40:e3:d6:5d:ed:42 -78 w | -78 -78
84:d4:7e:73:d7:04 -81 w | -81 -78 -78 -78
84:d4:7e:73:d7:01 -81 w | -81 -81
40:e3:d6:5d:c8:80 -42 w | -42 -42 -42 -42
40:e3:d6:5d:c5:e1 -83 w | -83 -82 -81 -81
40:e3:d6:5d:9c:62 -69 w | -69 -68 -70 -69
34:fc:b9:7a:cb:a1 -54 w | -54 -56 -55 -55
ac:84:c6:94:df:de -84 w | -84
40:e3:d6:5d:c5:e5 -82 w | -82 -81 -80 -80
40:e3:d6:5d:c8:82 -42 w | -42 -42 -42 -43
84:d4:7e:73:d7:00 -81 w | -81 -81
b0:6e:bf:3b:ab:80 -31 w | -31 -31 -30 -31
40:e3:d6:5d:54:e2 -79 w | -79 -78 -78 -79
40:e3:d6:5d:c5:e2 -83 w | -83 -82 -82 -81
40:e3:d6:5e:d3:45 -74 w | -74 -69 -69 -70
40:e3:d6:5d:9c:65 -66 w | -66 -67 -66 -66
40:e3:d6:5d:80:05 -87 w | -87 -88 -89
34:fc:b9:7a:cb:a2 -53 w | -53 -56 -54 -55
84:d4:7e:73:d7:05 -79 w | -79 -80 -80 -80
3c:52:82:a8:98:ae -75 w | -75 -84 -81 -84
84:d4:7e:73:d7:02 -81 w | -81 -78 -78 -78
34:fc:b9:7a:cb:a0 -53 w | -53 -57 -55 -55
40:e3:d6:5d:54:e4 -77 w | -77 -77 -79
40:e3:d6:5d:c8:81 -43 w | -43 -42 -42 -43
40:e3:d6:5d:80:02 -85 w | -85 -85
40:e3:d6:5d:c5:e4 -83 w | -83 -82 -81 -81
40:e3:d6:5d:ed:45 -75 w | -75 -81 -81 -81
40:e3:d6:5e:d3:42 -72 w | -72 -68 -69 -70
